name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
LAGEOS 2	2024-06-30T18:12:27.006+05:30	-90.0	-3.493990643614781	-6355928.975191504	0.5784542667738082	3.4280046814135354	4.498197700834425
THEMIS A	2024-06-30T18:26:27.006+05:30	8.249526859440724	55.11316149330841	-6297892.316932915	-1.1251894397211244	0.025593757126777927	-0.20457518280231013
SURCAL 159	2024-06-30T18:03:27.006+05:30	-88.96922081028598	4.0820572660664896	-6259333.752060398	-1.576335415016544	7.213633405741536	-0.38787451385706806
THEMIS E	2024-06-30T18:04:27.006+05:30	8.689342272738344	63.313365536440955	-6301439.235077698	-1.2745111654988313	-0.33283442675958563	-0.1862731507775395
SWIFT	2024-06-30T17:51:27.006+05:30	-90.0	29.06583825177802	-6354612.598047715	-3.2873573699295626	6.742084274326741	1.248717343090673
TECHSAT 1B (GO-32)	2024-06-30T18:18:27.006+05:30	90.0	-26.19082065459316	-6353173.157032028	2.6973995924704153	-2.8029380968411086	-6.351960887121032
JB-3 3 (ZY 2C)	2024-06-30T18:18:27.006+05:30	-90.0	3.3986448585772284	-6353349.342585778	3.745172518304479	-0.8682253522241982	6.5156888519261775
APRIZESAT 1	2024-06-30T18:31:27.006+05:30	90.0	-9.434962616917337	-6352254.734052504	4.385814989529858	-2.198191403353884	-5.70326752494622
APRIZESAT 2	2024-06-30T18:00:27.006+05:30	-90.0	33.28329058402198	-6350803.504529021	6.17444639903501	1.7312536625262056	3.913137826532369
DMSP 5D-3 F15 (USA 147)	2024-06-30T17:42:27.006+05:30	-90.0	13.503476548168885	-6353339.159381411	-3.0553960088193137	-2.1019165746519697	-6.443991855092767
NSS-11 (AAP-1)	2024-06-30T17:56:27.006+05:30	90.0	55.06800197783302	-6356371.57448412	-2.521768805505222	1.760587944669238	-0.023980096290029455
LES-5	2024-06-30T17:48:27.006+05:30	90.0	-19.638989228174875	-6356589.617399164	1.0791042965394921	2.987849886586542	-0.03977548946705773
STELLA	2024-06-30T18:31:27.006+05:30	90.0	58.87738725166578	-6351746.755015151	4.0119749878487285	3.5191203390354366	-5.209438654027592
SHIJIAN-6 02A (SJ-6 02A)	2024-06-30T17:43:27.006+05:30	-90.0	27.18836444149868	-6354229.513236021	-1.9161744606971605	-2.217204682127227	-6.990935948464524
NAVSTAR 56 (USA 180)	2024-06-30T18:41:27.006+05:30	-90.0	-27.599042496091513	-6344534.003050516	2.438326893476511	1.5642488319537846	2.6476762086038517
TERRA	2024-06-30T18:45:27.006+05:30	-89.113228001974	44.40070933509309	-6238663.406739373	-2.4955358702278443	-6.641813908613504	-2.4167948081105957
CALSPHERE 1	2024-06-30T19:26:27.006+05:30	-89.14366232450784	55.864589246909475	-6219933.945158978	3.9024438620864057	5.637784532238128	2.6946465134635775
SAUDISAT 2	2024-06-30T18:43:27.006+05:30	90.0	-21.369735431693712	-6354016.128515893	2.2243430520718546	-2.147706746103708	-6.814902763850589
CALIPSO	2024-06-30T19:32:27.006+05:30	90.0	-11.721471695403599	-6353588.403139403	3.0179090883711943	-1.8783215934189075	-6.6271399115872445
