name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
GLOBALSTAR M081	2024-06-30T18:27:27.006+05:30	90.0	-13.430573946997184	-6351295.556939455	3.899539374887617	5.4214141377941605	-2.5727467946415667
COSMOS 2434 [GLONASS-M]	2024-06-30T18:12:27.006+05:30	-90.0	44.79801455272265	-6349097.841260682	-2.0149161572439724	0.5311197362193236	-3.358902210740913
NANOSAT 1B	2024-06-30T18:22:27.006+05:30	-88.71482308787273	47.50381266176995	-6337549.641452596	0.43366567005468587	-7.45322411554951	-1.0140164851490279
SHIJIAN-6 03B (SJ-6 03B)	2024-06-30T18:16:27.006+05:30	90.0	0.6950403077564971	-6356261.1714486545	0.5400085573167732	-1.0320140306615493	-7.4820091185977
ALSAT 2A	2024-06-30T18:01:27.006+05:30	90.0	31.792281878595382	-6352205.448156508	4.7871505678739785	1.3874132578063378	-5.646124645747263
STAR ONE C2	2024-06-30T17:45:27.006+05:30	90.0	68.14841795358494	-6356677.787890339	-2.853424844367128	1.1433619503568657	3.9762812784569515E-4
COSMOS 2463	2024-06-30T18:04:27.006+05:30	-90.0	42.786083335576116	-6350280.729226319	3.300970993699848	5.648235409350264	3.3892944530805877
YAOGAN 2	2024-06-30T17:53:27.006+05:30	-90.0	8.539542356975753	-6354982.161957636	2.009019402594289	-0.8353601854814653	7.220110523250407
HUANJING 1B (HJ-1B)	2024-06-30T18:15:27.006+05:30	-90.0	9.4480292211702	-6353204.977610157	-3.5019890196531467	-1.7548468427595119	-6.406593596035841
FENGYUN 3B	2024-06-30T17:52:27.006+05:30	90.0	32.283648720910655	-6356084.305855719	1.2186872830693471	-0.6210080533678739	-7.294318861999827
YAOGAN 10	2024-06-30T18:00:27.006+05:30	-88.75625977248582	-27.548976275870693	-6339448.329529166	-6.974483992901715	-2.685287026896519	-0.9384341068300358
APRIZESAT 6	2024-06-30T17:49:27.006+05:30	90.0	49.66064570196648	-6350416.5448204735	-2.2312341281926487	-6.4679801058771	3.08049783722288
EWS-G2 (GOES 15)	2024-06-30T17:57:27.006+05:30	90.0	-6.201203213922668	-6356494.486155529	0.3324777974064998	3.0529625983246134	0.0014510742848590484
GLOBALSTAR M091	2024-06-30T18:00:27.006+05:30	90.0	-17.334297681322283	-6350656.848490017	1.3610942188961481	6.998332488809134	0.6233207137603307
OCEANSAT-2	2024-06-30T18:11:27.006+05:30	90.0	52.448310722956194	-6355499.499825676	1.6419288692244307	0.35366182609585584	-7.214724209616293
GLOBALSTAR M089	2024-06-30T18:05:27.006+05:30	-90.0	18.067225969977724	-6352846.5574936345	-3.9681209708897285	4.055218113842627	-4.349438229235521
THEOS	2024-06-30T17:44:27.006+05:30	-88.57756962982187	31.459016841251316	-6328909.20544561	-2.401366881059393	-6.883581710258164	-1.4149775686755186
GEOEYE 1	2024-06-30T17:39:27.006+05:30	-90.0	65.74328212686711	-6351447.406450133	-0.8035738485278724	-5.672445761024276	-4.847831394525039
APRIZESAT 4	2024-06-30T19:08:27.006+05:30	-90.0	42.80194292813501	-6351906.318358539	-2.700396146714798	-4.544014284299096	-5.360941529083751
OPTUS D3	2024-06-30T19:07:27.006+05:30	90.0	-26.2094156409433	-6356647.750399827	1.3570284825618588	2.7571960612132935	0.023340089277968865
WISE	2024-06-30T18:32:27.006+05:30	-90.0	36.72618828614989	-6354816.750873141	-1.1336647550388217	-2.09462638965189	-7.2889057663319115
CARTOSAT-2B	2024-06-30T18:45:27.006+05:30	90.0	62.75790665948624	-6355741.218111104	1.4263208850939462	0.4846297801680975	-7.380931157120931
SHIYAN 3 (SY-3)	2024-06-30T18:54:27.006+05:30	-88.5944031085317	-16.46343623791155	-6331454.045622121	-6.63898157622524	-3.075237412541922	-1.3144558176196115
GLOBALSTAR M081	2024-06-30T18:47:27.006+05:30	-90.0	36.94361679271458	-6356713.5359783145	-2.6646361282439743	3.505839918297147	-5.638164284911961
HYLAS 1	2024-06-30T18:39:27.006+05:30	-90.0	-13.188501068959784	-6353969.325453232	0.7002187926577707	2.9928086637472946	-0.016737924773363236
BEESAT-1	2024-06-30T19:20:27.006+05:30	90.0	52.117332253927934	-6350553.346891033	-2.0251536191616037	-6.3549421248936	3.4372765452743383
SMOS	2024-06-30T19:11:27.006+05:30	90.0	3.8415321458236216	-6352741.960881451	-4.043967168178431	-1.601447914562954	6.079592390756912
ALSAT 2A	2024-06-30T18:34:27.006+05:30	-88.66847950475082	-14.151022993010956	-6335334.943947239	-6.639567806612002	-3.2989624624471627	-1.2231343178879677
TIANLIAN 1-02	2024-06-30T19:14:27.006+05:30	-90.0	36.28209638724847	-6355420.847360612	-1.839633471098975	2.481573762362147	0.15652661870106668
AISSAT 1	2024-06-30T18:44:27.006+05:30	-90.0	51.1721865569746	-6352722.1833028495	3.726477525757428	2.5196499999520516	6.070898177992255
NAVSTAR 65 (USA 213)	2024-06-30T18:39:27.006+05:30	-90.0	69.64322617490683	-6349174.494947989	-2.4763103052560784	0.027217971531398266	-2.9394719008343535
HUANJING 1B (HJ-1B)	2024-06-30T19:44:27.006+05:30	90.0	14.017821767769444	-6356737.485637117	0.2717518092530779	-0.9618435400971813	-7.4479938476471395
NAVSTAR 63 (USA 203)	2024-06-30T20:19:27.006+05:30	-90.0	64.2566197316888	-6353587.6500225905	-2.1600893685762097	0.6758255466487915	-3.108421878491228
OPTUS D2	2024-06-30T19:40:27.006+05:30	90.0	1.299195517409766	-6356246.873479446	-0.07020241672467492	3.0725539010586225	0.007590681932814373
YAOGAN 3	2024-06-30T20:08:27.006+05:30	90.0	40.32535513057398	-6350964.024794949	5.828460572337993	2.510260547768649	-4.0951057068849845
YAOGAN 9B	2024-06-30T19:59:27.006+05:30	-90.0	15.815812263844814	-6351250.389626761	2.366817801248443	5.8628458380870985	3.8648269150951653
GLOBALSTAR M074	2024-06-30T19:52:27.006+05:30	-90.0	25.729833238796548	-6350669.654429577	-3.9395085271448487	5.908810561947467	-0.7890944044795526
COSMOS 2463	2024-06-30T20:17:27.006+05:30	90.0	60.66493043258211	-6352682.162715982	-2.9087974452406944	-2.9656961330178437	6.078473278874329
SJ-11-02	2024-06-30T20:21:27.006+05:30	89.92376827769635	37.2899826734735	-4254504.427762049	-3.4520255839373237	-6.0423740523799765	2.836105123241674
GLOBALSTAR M070	2024-06-30T20:29:27.006+05:30	-90.0	28.254678494487894	-6350611.219039443	-3.413240085907511	6.277014629232055	-0.027060788716702637
SHIYAN 3 (SY-3)	2024-06-30T20:04:27.006+05:30	90.0	28.306540793620847	-6353217.137631589	3.8207219387199505	0.58640772917035	-6.38298093571574
COSMO-SKYMED 3	2024-06-30T20:20:27.006+05:30	88.7028535125075	-21.33589174104251	-6336119.03709184	-6.991072064347632	-2.668748059238502	1.154701796346157
DMSP 5D-3 F18 (USA 210)	2024-06-30T19:39:27.006+05:30	90.0	-22.42029529859934	-6356372.272558286	-0.06321489877676317	-1.2015393178145477	-7.336088311260694
EUTELSAT 48D	2024-06-30T20:27:27.006+05:30	-90.0	44.299373396963546	-6355175.895500237	-2.131372315739226	2.190393017095532	0.14509207146208572
GLOBALSTAR M077	2024-06-30T20:31:27.006+05:30	-90.0	68.67813014004662	-6354054.660621146	-3.6920181995850374	3.4425007433488934	5.065621820133639
SJ-11-01	2024-06-30T19:35:27.006+05:30	-90.0	-20.18719803321139	-6350372.960542327	-6.831535088420527	-0.03464389408074344	-3.0821850885877895
RADARSAT-2	2024-06-30T20:26:27.006+05:30	-90.0	-1.4989302954185868	-6351227.366175248	-5.618032535922523	-1.594859046493898	-4.621489762355829
SHIJIAN-6 03B (SJ-6 03B)	2024-06-30T19:57:27.006+05:30	-90.0	-1.7362024699985514	-6355098.081846864	-1.819073672447469	-1.0120138568131136	-7.280938604474682
NAVSTAR 62 (USA 201)	2024-06-30T21:20:27.006+05:30	90.0	-28.661568396783117	-6342417.931558544	2.5442885079145108	1.6443401472096637	-2.3917594166631515
X-SAT	2024-06-30T20:41:27.006+05:30	-90.0	5.96313519496584	-6356531.033583315	-0.11734216861920185	-1.0927083836327705	-7.362347711493602
EUTELSAT 48D	2024-06-30T21:23:27.006+05:30	-90.0	58.12012879211739	-6355704.370315143	-2.5926995534454007	1.616390344753232	0.1679646614370279
CHUANGXIN 1-02 (CX-1-02)	2024-06-30T20:56:27.006+05:30	-88.61892468226873	-19.90990210435026	-6334413.997631211	-6.673706215361638	-3.0539887535138686	-1.1729785209630923
