Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
ISS (ZARYA)	2024-06-27 16:28:04.833691	90.000000	11.860244	-6352434.974955	1.563768	6.705651	-3.455501
FREGAT DEB	2024-06-27 16:32:04.833691	90.000000	1.520021	-6353830.810653	-2.599351	4.551007	4.604594
CSS (WENTIAN)	2024-06-27 16:33:04.833691	90.000000	1.155629	-6355195.983536	-1.273086	5.926699	4.790825
CSS (MENGTIAN)	2024-06-27 16:36:04.833691	90.000000	10.958379	-6354373.594464	-2.797127	5.767625	4.314654
TIANZHOU-5	2024-06-27 16:38:04.833691	90.000000	18.010627	-6353880.453136	-3.749946	5.522561	3.891968
SHENZHOU-15	2024-06-27 16:39:04.833691	90.000000	21.732502	-6353654.066306	-4.200407	5.359905	3.651975
SL-4 R/B	2024-06-27 16:42:04.833691	-90.000000	-23.965729	-6356119.451014	2.514175	4.189283	6.061689
ISS (ZARYA)	2024-06-27 16:43:04.833691	-90.000000	55.954231	-6356379.587012	-4.147597	2.406512	-6.024573
FREGAT DEB	2024-06-27 16:47:04.833691	90.000000	50.074356	-6351033.708938	-6.797088	2.918416	1.135013
CSS (WENTIAN)	2024-06-27 16:48:04.833691	90.000000	62.468957	-6352393.417512	-7.121842	2.870351	0.864966
SL-4 R/B	2024-06-27 16:57:04.833691	90.000000	20.755794	-6352577.284902	-4.958041	4.786319	3.596074
ISS DEB	2024-06-27 16:59:04.833691	-90.000000	6.759698	-6353221.057779	-3.466149	5.329970	-4.457315
CSS (TIANHE)	2024-06-27 17:00:04.833691	-90.000000	-21.756636	-6356012.702798	2.674477	5.199884	5.046017
SOYUZ-MS 23	2024-06-27 17:11:04.833691	-90.000000	-29.213415	-6353839.820258	0.487133	5.810151	-5.038170
CSS (TIANHE)	2024-06-27 17:15:04.833691	90.000000	27.206261	-6353362.355935	-4.797564	5.087673	3.286851
SOYUZ-MS 23	2024-06-27 17:26:04.833691	-90.000000	42.855776	-6351498.155577	-4.945300	5.884087	0.301403
SOYUZ-MS 22	2024-06-27 17:34:04.833691	90.000000	-19.473548	-6351577.699405	3.778440	6.620368	-1.116053
CREW DRAGON 5	2024-06-27 17:35:04.833691	90.000000	-13.577408	-6351656.848866	3.452078	6.717002	-1.521363
CYGNUS NG-18	2024-06-27 17:37:04.833691	90.000000	-2.654154	-6351886.992445	2.752089	6.814889	-2.308523
PROGRESS-MS 22	2024-06-27 17:40:04.833691	90.000000	11.348758	-6352402.843678	1.609093	6.720919	-3.403131
ISS (NAUKA)	2024-06-27 17:46:04.833691	90.000000	32.381419	-6353958.904228	-0.830750	5.695043	-5.119042
SOYUZ-MS 22	2024-06-27 17:49:04.833691	90.000000	40.722044	-6354933.083088	-2.024139	4.806471	-5.667250
CREW DRAGON 5	2024-06-27 17:50:04.833691	90.000000	43.321291	-6355277.138851	-2.405280	4.462925	-5.797345
CYGNUS NG-18	2024-06-27 17:52:04.833691	90.000000	48.350592	-6355984.541267	-3.131674	3.714423	-5.974685
SHENZHOU-15	2024-06-27 17:54:04.833691	-90.000000	-28.231838	-6355419.561172	3.663079	4.733648	4.880521
PROGRESS-MS 22	2024-06-27 17:55:04.833691	-90.000000	55.698227	-6356436.019847	-4.106229	2.465502	-6.028329
ISS (ZARYA)	2024-06-27 17:58:04.833691	90.000000	5.535700	-6352169.870965	2.139084	6.778138	-2.972422
CSS (WENTIAN)	2024-06-27 18:03:04.833691	90.000000	-1.076480	-6355366.248898	-0.925137	5.934441	4.860378
CSS (MENGTIAN)	2024-06-27 18:06:04.833691	90.000000	8.579194	-6354527.750553	-2.465955	5.835822	4.423459
TIANZHOU-5	2024-06-27 18:08:04.833691	90.000000	15.493091	-6354020.112243	-3.437986	5.629577	4.024412
SHENZHOU-15	2024-06-27 18:09:04.833691	90.000000	19.134088	-6353785.449699	-3.900330	5.485599	3.795303
SL-4 R/B	2024-06-27 18:12:04.833691	-90.000000	-20.618499	-6356652.071868	1.796031	4.481443	6.106778
