name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
SOYUZ-MS 22	2024-07-01T01:02:32.019+05:30	90.0	26.88988248093071	-6355321.55837735	-1.0747618525567835	4.937972098027617	-5.812297946736728
FREGAT DEB	2024-07-01T00:42:32.019+05:30	90.0	10.171410451598371	-6352051.222252914	-4.142524136610965	4.8300065581490905	3.258324192193504
SHENZHOU-15	2024-07-01T02:10:32.019+05:30	90.0	1.0702702163728086	-6353622.83040357	-2.0451346126162866	6.5161634458806414	3.6159031695817037
ISS (ZARYA)	2024-07-01T02:40:32.019+05:30	90.0	-11.2302531983176	-6352182.979290824	4.010015963253204	5.856899786673187	-2.9974758902635448
PROGRESS-MS 22	2024-07-01T02:27:32.019+05:30	90.0	8.242048386965138	-6353302.382533993	1.9126191998813107	5.905916401007431	-4.5616893925374145
PROGRESS-MS 22	2024-07-01T04:04:32.019+05:30	90.0	24.26463995803788	-6355056.27603665	-0.6620261711371855	5.118272729488353	-5.717605376913083
CSS (WENTIAN)	2024-07-01T03:45:32.019+05:30	90.0	19.169542591255855	-6352824.086018889	-3.9690468089284385	6.200231576858716	2.349846859261729
PROGRESS-MS 22	2024-07-01T05:37:32.019+05:30	90.0	28.078579188418196	-6355620.330658612	-1.3849786509198425	4.754790622553687	-5.89838563885805
CREW DRAGON 5	2024-07-01T07:05:32.019+05:30	90.0	18.884847030319495	-6354464.5913351355	0.22698484268558766	5.449337430615135	-5.4394776137175285
CSS (MENGTIAN)	2024-07-01T06:40:32.019+05:30	90.0	-6.440918197357552	-6354016.016931393	-1.0878293333621252	6.509064763985986	4.020636121778068
SOYUZ-MS 23	2024-07-01T07:43:32.019+05:30	-90.0	58.452688720758964	-6352052.44834684	-4.313815857579882	5.764285593584454	2.7140845339366546
CSS (WENTIAN)	2024-07-01T08:06:32.019+05:30	90.0	-22.074384109396686	-6355236.886118714	1.1900581337554592	5.93026885838851	4.808631575232838
ISS (ZARYA)	2024-07-01T08:47:32.019+05:30	90.0	-5.73735252973334	-6352491.37130955	3.523734192962016	5.863414469538921	-3.545448629906973
SOYUZ-MS 23	2024-07-01T09:09:32.019+05:30	-90.0	31.978906506931743	-6351543.461647878	-3.129124565268952	6.976235549448801	0.8438578531506001
CREW DRAGON 5	2024-07-01T09:59:32.019+05:30	90.0	-12.483651810881485	-6352178.582358152	4.135195381276555	5.772209016249214	-2.9900213008847754
PROGRESS-MS 22	2024-07-01T10:06:32.019+05:30	90.0	13.183578722039028	-6353907.01318035	1.118513402452442	5.6807556767774265	-5.081325513637253
TIANZHOU-5	2024-07-01T11:06:32.019+05:30	90.0	-26.400970616140466	-6355570.411068609	1.8153717409556627	5.663840803673489	4.932427941178778
CSS (TIANHE)	2024-07-01T10:27:32.019+05:30	90.0	39.25018791022821	-6352394.2322621355	-5.41553517591696	5.443250699995139	0.8688391458019041
CSS (WENTIAN)	2024-07-01T12:36:32.019+05:30	90.0	-28.537270023996406	-6355739.952520041	2.1209949835645032	5.511373001018197	4.982721938673744
SL-4 R/B	2024-07-01T14:01:32.019+05:30	90.0	32.323596569159754	-6351671.31608264	-5.180611453834664	5.684943213239769	1.1121668754195968
CREW DRAGON 5	2024-07-01T14:56:32.019+05:30	-90.0	53.4225387658623	-6354134.74536177	-5.479521813925539	1.3141333408247875	-5.241660531264733
ISS (ZARYA)	2024-07-01T14:57:32.019+05:30	90.0	9.230679163116026	-6353657.98817594	1.648408691958312	5.724272655044935	-4.885879185919112
ISS (NAUKA)	2024-07-01T14:48:32.019+05:30	90.0	32.83271156690119	-6356592.803070115	-2.4640407700323044	4.096791131560403	-6.03693358948696
ISS (NAUKA)	2024-07-01T16:23:32.019+05:30	-90.0	41.421302111881474	-6355609.602706383	-3.964013855033093	2.9656496583544723	-5.895836511576391
SOYUZ-MS 23	2024-07-01T18:10:32.019+05:30	-90.0	8.8452275069667	-6351513.92477654	-1.8466564767407883	7.447801110512161	-0.5516155372635778
CSS (TIANHE)	2024-07-01T19:17:32.019+05:30	90.0	-19.563280052565645	-6354774.429524674	0.6865445849641562	6.187032257698811	4.57784056607857
CSS (TIANHE)	2024-07-01T19:21:32.019+05:30	90.0	-5.666842605534077	-6353765.759145804	-1.2438535767606884	6.627196195002586	3.7744758109446144
CYGNUS NG-18	2024-07-01T20:38:32.019+05:30	90.0	-17.852965497242455	-6352063.860383806	4.604556275810901	5.533432021689383	-2.746037401641879
CYGNUS NG-18	2024-07-01T20:39:32.019+05:30	90.0	-13.238266953488408	-6352239.584710963	4.233449661741504	5.636396515254236	-3.1094528163534165
CYGNUS NG-18	2024-07-01T20:37:32.019+05:30	90.0	-22.786589818023078	-6351910.338039323	4.953901482159659	5.404346485868328	-2.3696387453010774
CSS (WENTIAN)	2024-07-01T21:43:32.019+05:30	90.0	-19.593532401462934	-6354710.095759888	0.6598951599225982	6.218302110822146	4.539945208977481
CSS (WENTIAN)	2024-07-01T21:50:32.019+05:30	90.0	6.381389757045926	-6353114.397268409	-2.6499677344869506	6.650891634689522	2.909228783393861
ISS DEB	2024-07-01T21:52:32.019+05:30	-90.0	-2.8070278428713467	-6352466.036368833	-2.5989597634479917	6.4685998207605735	-3.4183909532872008
