Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
ISS (ZARYA)	2024-06-28 15:30:47.568168	90.000000	44.120137	-6356090.765570	-2.911329	3.864260	-5.991956
CSS (TIANHE)	2024-06-28 15:47:47.568168	90.000000	-1.051732	-6354870.502856	-1.254398	6.055847	4.631632
SOYUZ-MS 23	2024-06-28 15:58:47.568168	-90.000000	-8.893945	-6352171.817639	-1.719253	6.888137	-2.972575
CSS (TIANHE)	2024-06-28 16:02:47.568168	90.000000	62.610005	-6352347.485018	-7.025188	3.184313	0.460233
FREGAT DEB	2024-06-28 16:19:47.568168	-90.000000	-24.717494	-6355675.415975	1.902244	3.642667	5.136138
CYGNUS NG-18	2024-06-28 16:24:47.568168	90.000000	-25.704843	-6351563.135983	4.393459	6.245795	-1.021562
PROGRESS-MS 22	2024-06-28 16:27:47.568168	90.000000	-8.684637	-6351855.867168	3.399722	6.547175	-2.219633
SL-4 R/B	2024-06-28 16:29:47.568168	90.000000	0.665627	-6353583.552257	-2.702486	5.470819	4.822484
ISS DEB	2024-06-28 16:31:47.568168	90.000000	-29.862166	-6356543.050423	2.575415	4.083661	-6.090884
ISS (NAUKA)	2024-06-28 16:33:47.568168	90.000000	17.166626	-6353043.827974	1.028091	6.317270	-4.286608
FREGAT DEB	2024-06-28 16:34:47.568168	90.000000	2.576333	-6353345.171773	-2.958227	4.648938	4.337990
CSS (WENTIAN)	2024-06-28 16:35:47.568168	-90.000000	-25.232519	-6356299.652731	2.779931	5.100663	5.091524
SOYUZ-MS 22	2024-06-28 16:36:47.568168	90.000000	26.864094	-6353888.674889	-0.249530	5.795528	-5.067719
CREW DRAGON 5	2024-06-28 16:37:47.568168	90.000000	29.783005	-6354199.262460	-0.675774	5.565639	-5.281655
CSS (MENGTIAN)	2024-06-28 16:38:47.568168	90.000000	-16.294214	-6356285.419923	1.279929	5.669374	5.089794
CYGNUS NG-18	2024-06-28 16:39:47.568168	90.000000	35.280057	-6354855.179833	-1.516700	5.028223	-5.633603
TIANZHOU-5	2024-06-28 16:40:47.568168	90.000000	-10.258777	-6355681.161556	0.244853	5.913913	4.965969
SHENZHOU-15	2024-06-28 16:41:47.568168	90.000000	-7.179817	-6355386.053960	-0.275751	5.993815	4.867962
PROGRESS-MS 22	2024-06-28 16:42:47.568168	90.000000	42.947515	-6355902.283421	-2.719501	4.048006	-5.960114
ISS (ZARYA)	2024-06-28 16:45:47.568168	90.000000	-13.678796	-6351752.218199	3.748467	6.461150	-1.888289
ISS DEB	2024-06-28 16:46:47.568168	-90.000000	16.698809	-6352343.956218	-4.599935	5.373048	-3.198377
ISS (NAUKA)	2024-06-28 16:48:47.568168	-90.000000	57.739044	-6355445.817986	-4.732212	1.623549	-5.850610
FREGAT DEB	2024-06-28 16:49:47.568168	90.000000	55.870514	-6350932.954486	-6.918793	2.874084	0.581365
CSS (WENTIAN)	2024-06-28 16:50:47.568168	90.000000	24.770218	-6353183.701675	-4.608536	5.416426	3.022557
SOYUZ-MS 22	2024-06-28 16:51:47.568168	-90.000000	65.658956	-6354427.921667	-5.456828	0.282792	-5.419869
CREW DRAGON 5	2024-06-28 16:52:47.568168	-90.000000	68.484669	-6354108.492498	-5.648207	-0.169330	-5.224144
CSS (MENGTIAN)	2024-06-28 16:53:47.568168	90.000000	38.051573	-6352720.753324	-5.733030	4.734994	2.103255
TIANZHOU-5	2024-06-28 16:55:47.568168	90.000000	47.744717	-6352507.996223	-6.347871	4.165242	1.437371
SHENZHOU-15	2024-06-28 16:56:47.568168	90.000000	52.806497	-6352432.054589	-6.610233	3.849674	1.093261
ISS (ZARYA)	2024-06-28 17:00:47.568168	90.000000	40.389457	-6355602.120763	-2.356563	4.362209	-5.893904
CSS (TIANHE)	2024-06-28 17:17:47.568168	90.000000	-3.354907	-6355037.496330	-0.905995	6.051436	4.717694
SOYUZ-MS 23	2024-06-28 17:28:47.568168	-90.000000	-12.475904	-6352307.161958	-1.399559	6.844170	-3.232781
CSS (TIANHE)	2024-06-28 17:32:47.568168	90.000000	59.089561	-6352367.686470	-6.885682	3.441400	0.670333
PROGRESS-MS 22	2024-06-28 17:57:47.568168	90.000000	-16.593606	-6351693.012806	3.918356	6.419158	-1.671535
SL-4 R/B	2024-06-28 17:59:47.568168	90.000000	5.304577	-6353179.420720	-3.358434	5.453601	4.410047
ISS DEB	2024-06-28 18:01:47.568168	-90.000000	-27.647061	-6356591.791544	2.112501	4.337499	-6.092958
ISS (NAUKA)	2024-06-28 18:03:47.568168	90.000000	11.722597	-6352702.885206	1.646551	6.460423	-3.859364
CSS (WENTIAN)	2024-06-28 18:05:47.568168	-90.000000	-27.371632	-6356121.915627	3.093466	4.942587	5.066155
SOYUZ-MS 22	2024-06-28 18:06:47.568168	90.000000	22.231584	-6353478.612083	0.380369	6.068108	-4.729666
CREW DRAGON 5	2024-06-28 18:07:47.568168	90.000000	25.353689	-6353769.904063	-0.048013	5.879057	-4.976745
CSS (MENGTIAN)	2024-06-28 18:08:47.568168	90.000000	-18.427903	-6356463.849209	1.616189	5.566366	5.107506
CYGNUS NG-18	2024-06-28 18:09:47.568168	90.000000	31.169416	-6354393.410856	-0.902120	5.418676	-5.399167
TIANZHOU-5	2024-06-28 18:10:47.568168	90.000000	-12.425697	-6355855.754187	0.588213	5.850272	5.012106
SHENZHOU-15	2024-06-28 18:11:47.568168	90.000000	-9.374629	-6355557.459972	0.068679	5.950371	4.928014
PROGRESS-MS 22	2024-06-28 18:12:47.568168	90.000000	39.125708	-6355408.428512	-2.146393	4.539699	-5.839289
ISS (ZARYA)	2024-06-28 18:15:47.568168	90.000000	-21.799384	-6351619.529445	4.236356	6.294704	-1.340156
ISS DEB	2024-06-28 18:16:47.568168	-90.000000	21.108309	-6352161.278485	-4.952733	5.269231	-2.820692
ISS (NAUKA)	2024-06-28 18:18:47.568168	-90.000000	53.926436	-6355940.438131	-4.312332	2.251299	-5.967156
FREGAT DEB	2024-06-28 18:19:47.568168	-90.000000	-25.066988	-6355653.085277	1.938659	3.623925	5.131998
CSS (WENTIAN)	2024-06-28 18:20:47.568168	90.000000	21.975317	-6353292.359042	-4.327208	5.552367	3.187279
SOYUZ-MS 22	2024-06-28 18:21:47.568168	-90.000000	61.568374	-6354891.234575	-5.142025	0.939608	-5.649926
CREW DRAGON 5	2024-06-28 18:22:47.568168	-90.000000	64.252922	-6354556.921437	-5.371591	0.491003	-5.490045
CSS (MENGTIAN)	2024-06-28 18:23:47.568168	90.000000	34.954816	-6352797.633409	-5.498820	4.922299	2.290369
TIANZHOU-5	2024-06-28 18:25:47.568168	90.000000	44.461961	-6352561.758968	-6.150804	4.382421	1.634965
SHENZHOU-15	2024-06-28 18:26:47.568168	90.000000	49.446427	-6352473.843302	-6.433198	4.080259	1.294681
ISS (ZARYA)	2024-06-28 18:30:47.568168	90.000000	36.571103	-6355123.790753	-1.775700	4.815250	-5.743528
FREGAT DEB	2024-06-28 18:34:47.568168	90.000000	2.168090	-6353364.893485	-2.912268	4.660540	4.349001
CSS (TIANHE)	2024-06-28 18:47:47.568168	90.000000	-5.630765	-6355207.334667	-0.556406	6.032227	4.795658
FREGAT DEB	2024-06-28 18:49:47.568168	90.000000	55.180103	-6350934.884769	-6.893050	2.919782	0.608567
SOYUZ-MS 23	2024-06-28 18:58:47.568168	-90.000000	-15.901363	-6352453.683157	-1.076901	6.779557	-3.484977
CSS (TIANHE)	2024-06-28 19:02:47.568168	90.000000	55.596402	-6352395.356456	-6.731373	3.690682	0.879190
