name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
UFO 2 (USA 95)	2024-07-01T00:29:28.854+05:30	90.0	22.108100638555403	-6354521.664246732	-1.164887591076117	2.781587347097833	0.5997184460496461
USA 65 (DSP 15)	2024-07-01T00:02:28.854+05:30	83.23218019134232	17.263814195576554	-6039716.776592596	-0.9650764030053477	2.821843968837955	0.6668819694046234
OPS 3811 (DSP 2)	2024-07-01T00:26:28.854+05:30	84.16808279302876	19.96493703431863	-5978450.597910563	-1.0364638813932265	2.8700838256923524	-0.013754767344585484
SKYNET 4C	2024-07-01T00:20:28.854+05:30	90.0	21.285524463872747	-6352207.285476608	-1.1568128928276569	2.775633551744746	0.6411969185234342
HST	2024-07-01T00:16:28.854+05:30	90.0	49.89520285490878	-6355198.112058962	-4.773843275444035	4.993198900303462	-3.196708128635075
SCD 1	2024-07-01T00:48:28.854+05:30	90.0	-31.157974942323285	-6355612.229559135	3.1204206963774395	6.14485888450046	2.9190532478160347
FLTSATCOM 8 (USA 46)	2024-07-01T01:28:28.854+05:30	-90.0	-9.100407529325256	-6356012.414289017	0.484970406012778	2.959187273230691	0.6704224572722647
SKYNET 4C	2024-07-01T01:31:28.854+05:30	84.93844009786746	38.93407348525013	-5928321.3941811705	-1.9725028600926524	2.3033014117074786	0.5090867999337143
OPS 3811 (DSP 2)	2024-07-01T01:57:28.854+05:30	82.27555510475239	42.26766773661761	-6080761.230568842	-2.0467721070875573	2.2602206663473154	-0.04566286185624004
SKYNET 4C	2024-07-01T02:36:28.854+05:30	82.11915581850508	55.36090194941243	-6098403.578768834	-2.555362485500703	1.6757244644155187	0.34493008175169676
OPS 5712 (P/L 160)	2024-07-01T02:24:28.854+05:30	90.0	-6.412129822137034	-6351877.631925556	-4.136797678540107	4.044104557948429	4.7870954172918285
OPS 3811 (DSP 2)	2024-07-01T02:20:28.854+05:30	81.59770441358631	47.89948072574161	-6106166.314282738	-2.258478501813361	2.0478952999135385	-0.05280733085247959
SURCAL 150B	2024-07-01T02:22:28.854+05:30	90.0	46.231466345861215	-6350376.484475019	-1.8093090595433547	7.102003071749095	-1.7689694501559545
NAVSTAR 43 (USA 132)	2024-07-01T02:11:28.854+05:30	-81.07597803778704	9.038453563540953	-6293789.276084276	-1.7111931502377462	3.326184989915184	-0.8906227723438863
NAVSTAR 43 (USA 132)	2024-07-01T02:09:28.854+05:30	-81.13326542645619	7.555339698015669	-6292192.353616045	-1.6706784663685246	3.3320908248091383	-0.9434016108167304
OSCAR 7 (AO-7)	2024-07-01T03:23:28.854+05:30	-90.0	-5.720046740842102	-6354799.601852859	-1.8673344608114637	-1.3443153403022152	-6.746725198863694
